标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期,发布小时,发布天数
熵增定律的根源，竟然是数学结构！！全面深度科普邓煜的菲尔兹奖成果。什么是狭义的希尔伯特第6问题？熵增，是怎么从数学结构里自己生长出来的？熵为什么只增不减？,道可道Science-硬核科普,科学科普,218924,8934,1142,692,6958,2135,1283,700,2026-07-25 12:34:35,BV1Kg3g6iEU6,2026-07-26,11.42361111111111,0.4759837962962963
你从车上摔下来的那一刻，我心都碎了,梵葵葵,特摄,639450,68555,1041,139,9192,640,3835,10,2026-07-25 08:34:08,BV1gd3T6ME8g,2026-07-26,15.431111111111111,0.642962962962963
小鬼当家智斗爱斯贼小偷,看动漫的KV,影视剪辑,452154,31780,490,582,22494,3039,1406,361,2026-07-25 03:22:28,BV1Zw3T65EdK,2026-07-26,20.625555555555554,0.8593981481481481
我从KK园区跑出来了!!!,哦_俊杰,出行,196518,6004,376,281,2066,655,512,3422,2026-07-25 03:00:00,BV1vcgh6uEky,2026-07-26,21.0,0.875
人类幼崽开机使用说明书,蕾蕾蕾杨,亲子,142890,17442,416,409,4930,784,3378,198,2026-07-25 02:58:53,BV12y3K6oEYY,2026-07-26,21.01861111111111,0.8757754629629629
54张！阿萨拉卡牌！我买到了三角洲行动的扑克牌！！！,乔治乔治君,野生技能协会,390185,21718,413,764,7879,1111,163,168,2026-07-25 10:00:00,BV1U6ge6uEtM,2026-07-26,14.0,0.5833333333333334
和MC脑叶公司作者一起玩,籽岷,单机游戏,300198,29515,1154,1280,10848,7097,5264,2585,2026-07-25 03:11:54,BV17F3T62EHH,2026-07-26,20.801666666666666,0.866736111111111
终于把这40秒动画做好了……（完结撒花),柔树特效,绘画,99930,36081,434,71,10774,3945,1376,41,2026-07-25 01:42:27,BV1eK3T6rECf,2026-07-26,22.2925,0.9288541666666666
2026年的国产长剧完蛋了！没有最烂，只有下一部更烂！,女编剧就要写女主角,影视杂谈,178143,8845,530,768,1469,1815,124,1485,2026-07-25 13:00:00,BV1Um3g6gEeE,2026-07-26,11.0,0.4583333333333333
谁同意了,老子名字深蓝,手机游戏,310126,21865,420,151,1315,829,131,126,2026-07-25 09:06:28,BV1NM3M6FEu8,2026-07-26,14.892222222222221,0.6205092592592593
