标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期,发布小时,发布天数
我的家里……有一只凑企鹅,小陈的脚凑凑的,日常,336590,37968,623,232,4670,1550,1357,193,2026-07-25 10:00:00,BV11Sge6AE4D,2026-07-26,14.0,0.5833333333333334
佐助，忍界为数不多的没被霸之意志侵蚀之人,榆木混珠,手机游戏,483496,27719,1761,933,5260,2193,1959,606,2026-07-25 00:34:17,BV1ph3T6sEwH,2026-07-26,23.42861111111111,0.9761921296296295
你喜欢怎么样的我？,ENX叉叉酱,同人·手书,321096,59550,1998,325,9179,3375,1613,130,2026-07-25 11:00:00,BV1123M6AEdY,2026-07-26,13.0,0.5416666666666666
《明日方舟》2026夏日嘉年华特别通讯视频,明日方舟,手机游戏,1345900,59711,8838,13977,8636,14094,6317,3090,2026-07-25 12:25:00,BV1o43g69E9z,2026-07-26,11.583333333333334,0.4826388888888889
没一点想看的欲望？胆量不详？笑料一筐！周笔畅满身大汉？笑到没空害怕《密室大逃脱8》,噬元兽影视,影视杂谈,627457,33160,592,635,5159,766,1213,707,2026-07-25 11:53:06,BV1TK3g6uECk,2026-07-26,12.115,0.5047916666666666
真正想赢的人 在赢之前是不会笑的,乐崽-中辅,GMV,792776,35154,1008,162,3740,1383,246,149,2026-07-25 02:16:54,BV1xx3T6ZEGF,2026-07-26,21.718333333333334,0.9049305555555556
杀人灭口，东躲西藏！二十年前连环杀人的悬案，算导的隐藏细节太夸张了！万字细嗦《悬案》第二案（P3）,不善言辞的秃秃,影视杂谈,399626,16253,393,1205,4189,11679,348,1783,2026-07-25 12:12:43,BV1Sc3g6kEfY,2026-07-26,11.788055555555555,0.49116898148148147
末日高架桥，我们被困了100天！P5,马里奥红叔,单机游戏,742489,102563,1647,9615,27341,52334,705,1364,2026-07-25 03:00:00,BV17ygv6xEPr,2026-07-26,21.0,0.875
万税爷又出捞钱小妙招，总统推文付费抢先看？,麻薯波比呀,社科·法律·心理,775783,51658,1382,1458,6519,5867,543,922,2026-07-25 09:59:43,BV1EN336fEB9,2026-07-26,14.004722222222222,0.5835300925925926
大 周 礼 时 代(13),诸葛皮皮9527,小剧场,624940,85152,1731,1739,10826,4455,1074,101,2026-07-25 09:00:00,BV1aLgv6LEHN,2026-07-26,15.0,0.625
又一全网吹捧的“有钱人文案”，炸出了多少爱装的“少爷公主”,小椰子专栏,社科·法律·心理,2081507,32429,2042,808,11415,1688,363,337,2026-07-25 08:55:00,BV1esgr6YEge,2026-07-26,15.083333333333334,0.6284722222222222
《明日方舟》SideStory「直到大地变成一颗酸橙」活动先导PV,明日方舟,手机游戏,1775568,90494,6178,3973,14352,18081,8954,151,2026-07-25 11:40:00,BV1KN3M6wEm9,2026-07-26,12.333333333333334,0.513888888888889
世子之争向来如此,李万基fit,搞笑,643285,39275,720,1286,1477,1128,377,233,2026-07-25 09:00:00,BV1LygY6mETr,2026-07-26,15.0,0.625
⚡逆转的毕业照⚡,张少_帝者戰神,鬼畜剧场,192509,20218,457,230,5038,660,2419,241,2026-07-25 09:23:15,BV1193g6KE9F,2026-07-26,14.6125,0.6088541666666667
“ 五 区 兄 弟 驾 到 ”,MJ小林大人嗷,GMV,1045301,65912,2454,1570,11990,4539,3060,276,2026-07-25 02:30:00,BV1FXga6WE9G,2026-07-26,21.5,0.8958333333333334
大庆赶海，大海退潮后发现大个的竹节蛏眼，撒上一点盐往外跑,大庆赶海,田园美食,3315314,46196,342,768,10036,925,242,385,2026-07-25 08:59:30,BV1wj3M69EuL,2026-07-26,15.008333333333333,0.6253472222222222
⚡️异 域 狗 叫 ⚡️,哦呼w,鬼畜调教,1090518,120515,4778,1102,25534,20861,10859,162,2026-07-25 07:07:34,BV1ox3M62EfK,2026-07-26,16.87388888888889,0.7030787037037037
这挑战迪迦干完都亮红灯走的,李炮炮儿,搞笑,1829296,165589,3822,1464,9552,6584,2365,236,2026-07-25 07:57:36,BV1t63M6KEyP,2026-07-26,16.04,0.6683333333333333
Tiny Giant (Remix) | Zenless Zone Zero,-阿洋Yoko-,同人·手书,433829,94779,1274,479,30021,29751,4011,176,2026-07-25 15:00:00,BV1Ep3M6SEiC,2026-07-26,9.0,0.375
昭和金曲《マジか！》Papi酱《生气了》日文版,吉事堡,音乐综合,1023427,49549,2079,1079,12624,14580,13733,184,2026-07-25 10:00:00,BV1Rt3M6LEvH,2026-07-26,14.0,0.5833333333333334
消耗40亿token，我做了个AI军官监督我学习,叛逆蓝牙,单机游戏,312490,27076,641,74,15309,1170,3636,115,2026-07-25 07:23:20,BV1fJ3M6DELF,2026-07-26,16.61111111111111,0.6921296296296297
我是律师，请用当事人的语气让我破防17.0,小草律师呀,社科·法律·心理,3315258,164245,1143,355,5598,1057,1314,47,2026-07-25 09:11:06,BV1NK3M6hEhJ,2026-07-26,14.815,0.6172916666666667
我从地狱归来,杨齐家_,单机游戏,1950905,113287,2976,9823,18880,10278,1061,891,2026-07-25 08:21:20,BV1uF3M6vE8T,2026-07-26,15.644444444444444,0.6518518518518518
希望胖东来开到外省的举个手！,_张天琪,日常,1203530,50853,1340,563,7120,1138,1032,178,2026-07-25 11:00:00,BV1op3M6UEkF,2026-07-26,13.0,0.5416666666666666
胖龙给儿子报补习班，一算补习费吓一跳，威胁他再不好好学就办退学,胖龙的小生活,美食记录,599641,11952,1735,669,1828,985,168,250,2026-07-25 10:22:10,BV1PZ3g6eEL9,2026-07-26,13.630555555555556,0.5679398148148148
极客湾手机续航大横评：电池锁容？电量缩水？谁在浑水摸鱼？,极客湾Geekerwan,数码,1610925,260040,29303,37420,82720,323227,45493,2327,2026-07-25 17:09:24,BV1LR336sEFX,2026-07-26,6.843333333333334,0.2851388888888889
自己吓自己～,王七叶-,搞笑,2716613,114471,2591,947,6932,1383,1571,80,2026-07-25 10:49:38,BV1fp3g64Ezb,2026-07-26,13.172777777777778,0.5488657407407408
【TF家族练习生】《突围II破局》EP05：你的位置，决定了你有多少选择（上）,TF家族,明星综合,1756104,68549,8415,1932364,23281,7637,1592,4128,2026-07-25 11:00:00,BV1Zp3M6UEgS,2026-07-26,13.0,0.5416666666666666
别人说倒装句！广西人讲乱装句！这谁能听懂啊！😵,烛不遥,综合,769845,28908,3396,1281,3408,1127,2807,186,2026-07-25 13:23:15,BV1Ek3u6RECC,2026-07-26,10.6125,0.4421875
【朱志鑫】DAY-1 原创SOLO「Do All Swag」4K直拍｜登陆少年梦寐以求演唱会,帆_朱志鑫,娱乐粉丝创作,218778,22113,5412,11337,16583,22996,9132,196,2026-07-25 16:41:52,BV12v336MEVJ,2026-07-26,7.302222222222222,0.3042592592592593
躲在航天核心区捡垃圾的两人【三角洲动画】,手折余弦丶,电子竞技,1349828,90316,2154,1391,19819,8113,3255,336,2026-07-25 03:00:00,BV1kwgz66Ekd,2026-07-26,21.0,0.875
班赛就是我的舞台，我就是主角！,卷毛懂个球,篮球,912812,42271,1193,793,1990,991,1351,193,2026-07-25 08:14:55,BV1Qv3M66E7E,2026-07-26,15.751388888888888,0.6563078703703703
《明日方舟》EP - 酸橙色信笺,明日方舟,手机游戏,1460821,159296,26872,12594,68306,109827,30094,242,2026-07-25 12:57:41,BV1nB3u6tEHD,2026-07-26,11.038611111111111,0.4599421296296296
致富经：村民养殖大狗，发展狗叫经济,咪克菌,搞笑,1289318,41307,1611,855,7581,1609,7399,142,2026-07-25 05:49:54,BV18J3u66EMY,2026-07-26,18.168333333333333,0.7570138888888889
全球最大游轮！造价140亿！到底有多离谱？吃什么？玩什么？,HOLA小测佬,出行,1563930,60694,1353,6095,33873,12857,8278,751,2026-07-25 10:15:00,BV1Rt3K6qEKV,2026-07-26,13.75,0.5729166666666666
“我才是元首！”,自动鬼畜中的WZ,鬼畜调教,933932,185659,3111,5253,53940,18436,4223,83,2026-07-25 04:00:00,BV16Ege6sEWB,2026-07-26,20.0,0.8333333333333334
【4K高燃】中国最帅街道飘移追走大片儿！！！,Upspeed盛嘉成,赛车,740105,16745,731,2318,6247,11336,1982,685,2026-07-25 03:00:00,BV1yyga6ZEMf,2026-07-26,21.0,0.875
满嘴跑火车，左右脑互搏，老实话不多【韩红雷霆发言名场面】,一只吐槽圆,娱乐杂谈,1417038,41980,5927,9851,10824,5945,10607,774,2026-07-25 02:14:50,BV1Nx3T6fEe9,2026-07-26,21.752777777777776,0.9063657407407407
吃完蜂蜜的蜂蜡不要扔！可以自己在家做蜡染,小宇菇菇,手工,348827,32674,144,148,3731,1041,226,160,2026-07-25 07:01:09,BV1HZ3M6dEUF,2026-07-26,16.980833333333333,0.7075347222222222
人在上海出差，收到了上门喂养阿姨的视频，剪了一下还挺好玩,喵君是个大聪明,出行,972422,79710,3253,2522,7198,2776,8989,214,2026-07-25 03:19:08,BV1iA3T6CEs4,2026-07-26,20.68111111111111,0.861712962962963
【2026LPL第三赛段】7月25日 IG vs WBG,哔哩哔哩英雄联盟赛事,电子竞技,1897375,18234,7631,18028,2566,6287,1196,10238,2026-07-25 10:14:58,BV1wF336AEgm,2026-07-26,13.750555555555556,0.5729398148148148
带女友去澳门新葡京，并给她洗脚~~~,三十六贱笑,搞笑,629485,24433,861,1502,4501,2388,2260,299,2026-07-25 03:30:00,BV1ARgi6BE8Q,2026-07-26,20.5,0.8541666666666666
年销2亿粒！从古代皇室黑金到日本“国民蕨饼”垄断超市夏季货架！,大鹏和你看世界美食,美食侦探,2290220,32836,694,1574,7650,1955,376,1030,2026-07-25 11:30:00,BV1cA336cERr,2026-07-26,12.5,0.5208333333333334
《王八汤》（最后一期海龟汤作品）,是许木木啊,日常,945624,114800,8569,14599,27002,28086,4469,570,2026-07-25 09:25:00,BV1Spgv66ETU,2026-07-26,14.583333333333334,0.607638888888889
这才是爱豆该有的国风表现力｜R.E.D尹子璐《千年等一回+风月》巡演杭州限定FOCUS,李哩哩的哩哩,明星综合,517352,20902,6684,6824,5240,7971,2582,308,2026-07-25 16:50:25,BV1LX336dEGT,2026-07-26,7.159722222222222,0.29832175925925924
重生或证道！修仙国产单机《黄天逆途》全新实机演示,黄天逆途,单机游戏,908660,44459,7634,2473,14235,35546,19110,245,2026-07-25 02:00:00,BV1Nkga6cE1g,2026-07-26,22.0,0.9166666666666666
新三国up锐评老三国09：上安朝廷社稷，下谢天下黎民！,吃蛋挞的折棒,影视剪辑,704920,41726,4267,10699,6039,17880,579,1747,2026-07-25 02:00:00,BV1AVgi6iEbh,2026-07-26,22.0,0.9166666666666666
妈妈携神秘亲戚抵达德国，庭院改造正式启动！开工宴做十几道中式大餐！,德国陶渊明,美食记录,307428,21647,779,2720,2430,17139,293,1495,2026-07-25 09:00:00,BV1Jkgq6vEYA,2026-07-26,15.0,0.625
淏,yakeso_,同人·手书,422252,79736,1668,902,10336,11296,1041,161,2026-07-25 04:12:26,BV1oE3K6CE1Q,2026-07-26,19.79277777777778,0.8246990740740742
当你在班级打开一包零食...,多米糯骨嘎,搞笑,585791,61463,2118,284,10769,2115,4263,69,2026-07-25 02:40:25,BV1P23K6xEmz,2026-07-26,21.32638888888889,0.8885995370370371
大能博弈！修仙战争开启！《凡人修仙传》184逐帧解析,利维坦mY,动漫杂谈,463718,34303,3941,2265,2796,11772,525,846,2026-07-25 10:06:10,BV1cL3M6sEYt,2026-07-26,13.897222222222222,0.5790509259259259
【野兽朋友们】幸运大转轮-概率操控3,JJALTOON,同人·手书,442918,36351,470,437,4739,925,617,90,2026-07-25 09:54:14,BV1TU3g66EPh,2026-07-26,14.096111111111112,0.587337962962963
只要我转的快，我也是王者荣耀的高手,磊哥游戏,单机游戏,1078517,84252,2960,978,2813,3981,1133,152,2026-07-25 01:00:00,BV1Umgi6GETh,2026-07-26,23.0,0.9583333333333334
徒步横穿广州100公里，30个小时，目前状态良好！,东尼ookii,出行,476716,30570,1032,2960,6904,17694,1010,1390,2026-07-25 10:45:24,BV1Z43g69Evv,2026-07-26,13.243333333333334,0.5518055555555555
植物大战僵尸恐怖版：疯狂园主（下）,对不起贱笑了,单机游戏,788315,43897,5425,5097,10851,6571,1262,838,2026-07-25 01:45:03,BV1eK3T6rEa2,2026-07-26,22.249166666666667,0.9270486111111111
超神人辉夜姬 第六集,咖啡大慕斯,综合,165771,19049,489,678,5310,1899,1133,654,2026-07-25 12:05:00,BV18k3g6yEW6,2026-07-26,11.916666666666666,0.49652777777777773
惊天签约！老詹联手76人！NBA大结局来了？,业余球探刀先生,篮球,468382,15807,4161,4769,2343,3588,738,928,2026-07-25 14:13:39,BV1rx3G6PEqE,2026-07-26,9.7725,0.40718750000000004
0元刷新桂！无限免费刷新直接搬空商店！看完后赶紧去玩程序员可能明天就修了！,这看缘吧,手机游戏,528170,37174,2091,336,7924,1534,11935,95,2026-07-25 09:33:36,BV1yo3g6PE6C,2026-07-26,14.44,0.6016666666666667
狗头吧新科研，一波团打出队内和谐！！！,破阵子l,电子竞技,449196,23154,777,1421,2861,7498,878,915,2026-07-25 02:00:00,BV1qKgv6HE3H,2026-07-26,22.0,0.9166666666666666
“什么叫难度太高游戏直接报错了？！”,甘泽成谣雨成诗,手机游戏,398836,27868,1434,475,2829,1947,3754,271,2026-07-25 12:28:24,BV1wE3g6cEuU,2026-07-26,11.526666666666667,0.4802777777777778
千万别在梅雨季搞创作,想想工作室,绘画,489986,25635,691,949,5300,6962,577,439,2026-07-25 06:02:01,BV1eG3u6LENs,2026-07-26,17.96638888888889,0.7485995370370371
【真实锐评IG让1追2战胜WBG】不装了我就是theshy电竞 半年没打 回来对线拉满 团战天神下凡！,真实电竞,电子竞技,484349,19393,2836,2414,1282,3529,961,369,2026-07-25 14:09:10,BV1783G6hEoZ,2026-07-26,9.847222222222221,0.4103009259259259
新手做饭，放调味料有什么讲究？,咕噜耄,校园学习,451183,70834,509,78,45888,2649,1552,108,2026-07-25 04:58:42,BV18E3u63E93,2026-07-26,19.02166666666667,0.7925694444444445
（知识科普）一口气看完总共24大流派，看看你属于哪一流派呢？,颜心做的cat,网络游戏,380835,20751,595,4135,6113,2350,140,1482,2026-07-25 10:00:00,BV1Mm3g63EYk,2026-07-26,14.0,0.5833333333333334
【FGO】夺命十三枪,卡迷萨,手机游戏,101361,9138,611,445,3457,8897,3340,397,2026-07-25 09:27:50,BV12Q3g6qED7,2026-07-26,14.536111111111111,0.6056712962962963
侮辱智商！精致女生可以未卜先知转行神棍赛道、带3000万珠宝坐飞机？近期互联网热门人设赏析！,正经的老邪,日常,464573,23015,1129,4884,3027,4598,696,1314,2026-07-25 02:05:00,BV1a33T6MEEG,2026-07-26,21.916666666666668,0.9131944444444445
死芒红皮居然只要21！！？！,三角洲经济学教父,网络游戏,346540,22371,1695,1103,2068,912,5308,270,2026-07-25 06:23:47,BV11m3M6aECz,2026-07-26,17.60361111111111,0.7334837962962962
【奕夕】求&影-全曲MV+私设注意,苏莹川,MV,89374,19469,419,439,7434,4112,572,238,2026-07-25 09:36:29,BV1CR3g6vEy4,2026-07-26,14.391944444444444,0.5996643518518519
超级暴雨来了：台风红霞将巅峰登陆广东，四川等省高温将明显缓解,中气爱,科学科普,616696,26594,5295,1513,1775,1077,4250,211,2026-07-25 15:11:51,BV1DN3G6mEoL,2026-07-26,8.8025,0.3667708333333333
00红00花00凛0T王棋绘世！你是否承认我的理解举世无双？,澄闪啵啵,手机游戏,195646,14898,1668,489,2387,3087,5532,409,2026-07-25 15:09:34,BV1uN3G6mEkx,2026-07-26,8.840555555555556,0.3683564814814815
耗时上千小时！自制《哭泣少女乐队第二季》第一集 “呐 未来”,一典人od,MAD·AMV,126922,23158,959,373,11234,16123,3143,454,2026-07-25 05:34:18,BV12x3u6iEB4,2026-07-26,18.428333333333335,0.7678472222222222
【本家】衛星 - 音街ウナ【カササギ】,カササギ_柿崎ユウタ,VOCALOID·UTAU,115719,32852,1680,1248,16522,9977,2512,144,2026-07-25 12:00:00,BV1BogC6JEDJ,2026-07-26,12.0,0.5
携程被罚没51.79亿元,央视新闻,日常,1218195,58785,8912,455,4508,2931,11285,179,2026-07-25 03:06:18,BV1mC3K64EAX,2026-07-26,20.895,0.870625
和大家说一个好消息和一个坏消息！,Key725,网络游戏,628336,74832,1389,581,12672,32324,374,260,2026-07-25 02:00:00,BV1RYgi6QELz,2026-07-26,22.0,0.9166666666666666
一把游戏感动四个队友,峡谷混学家,电子竞技,402477,28814,905,597,1432,5486,261,338,2026-07-25 10:00:00,BV1Yj3u6kEJ2,2026-07-26,14.0,0.5833333333333334
剑指冠军！詹姆斯400万加盟76人！阵容太强，恩比德受伤也不怕？,太吾车神,篮球,541055,20035,6007,6108,2903,4852,1853,791,2026-07-25 11:09:56,BV1nn3g6fEus,2026-07-26,12.834444444444445,0.5347685185185186
【卡戍】雷霆万钧，一剑破空，战斗即艺术帧帧都是经典 [4K/无UI]导电漂泊者VS全息无冠者,ZSDS卡戍,手机游戏,294877,37525,846,191,5489,6414,2204,199,2026-07-25 04:35:19,BV1X83K6KERu,2026-07-26,19.41138888888889,0.8088078703703704
假如根据所学专业觉醒超能力的话?（第二期）【AI全民制作人】,十万个挑战,影视杂谈,1055200,16927,538,565,5369,1311,390,326,2026-07-25 12:35:15,BV14u3g6TEzn,2026-07-26,11.4125,0.47552083333333334
芬兰表妹一家终于抵达中国兴奋到飞起！被四川豪华家宴感动到热泪盈眶！成都深夜逛吃开心爆炸！,雨琪在芬兰,日常,854635,38112,1039,5886,5771,23857,199,1676,2026-07-25 04:36:59,BV1Sq3K6hEDs,2026-07-26,19.38361111111111,0.807650462962963
浙江第一悬案，究竟怎么破的？烧脑程度，世间罕见,我是江无情,人文历史,483981,16961,666,1315,5219,765,466,1032,2026-07-25 02:00:00,BV1e5gq69EDT,2026-07-26,22.0,0.9166666666666666
古代布料紧缺，汉服为啥又宽又大？？,珑师傅_,人文历史,204680,21520,826,562,8350,3199,465,492,2026-07-25 11:30:56,BV1XB3g6jEtU,2026-07-26,12.484444444444444,0.5201851851851852
【微电影】星河外卖员：创造之旅,最后讲述者,鬼畜剧场,619638,44547,963,1184,7249,9809,1430,582,2026-07-25 04:13:22,BV1on3K6GE7P,2026-07-26,19.77722222222222,0.8240509259259259
【顶级智斗】全民进入大智斗时代！,机智的呆狗,搞笑,294003,17147,404,1204,5863,5101,236,428,2026-07-25 04:00:00,BV1roge6tEkW,2026-07-26,20.0,0.8333333333333334
盘点三角洲里四个阵营的原型【三角洲军工20】,阿氢HYDROGEN,网络游戏,696043,26769,505,848,9505,778,229,463,2026-07-25 10:02:45,BV1zN336ZEKL,2026-07-26,13.954166666666667,0.5814236111111112
今晚谁来都得叫“妈妈”丨4K三机位FOCUS • R.E.D李雨林《Hot & Sxey》&《Hey Mama》•「Shadow Play」杭州站,洛寒丨李雨林,明星综合,168725,10411,3155,3706,4861,5303,1478,239,2026-07-25 15:01:03,BV1Rz3G6WEgg,2026-07-26,8.9825,0.37427083333333333
护送迷路大爷回家，心里开心一整天~,哈基蛙a,日常,266590,43441,709,445,1375,22723,130,293,2026-07-25 10:26:02,BV1rF336wEvu,2026-07-26,13.56611111111111,0.5652546296296296
【2026KPL夏季赛】7月25日 成都AG超玩会 VS 杭州LGD.NBW,哔哩哔哩王者荣耀赛事,电子竞技,802832,7162,10017,14814,1849,1198,1919,9527,2026-07-25 12:27:35,BV1wE3g6cEKK,2026-07-26,11.540277777777778,0.48084490740740743
「咒术回战」人外魔境新宿决战,望穿秋水145,MAD·AMV,465317,66398,3228,601,21175,28214,4712,126,2026-07-25 05:00:00,BV1kRgi6qEyJ,2026-07-26,19.0,0.7916666666666666
无证改装加警灯，深夜“炸街”还超员？警方出手围捕！,央视新闻,日常,1185438,60014,2036,1193,5278,1033,1050,101,2026-07-25 01:29:29,BV1V33T6uEJH,2026-07-26,22.50861111111111,0.9378587962962963
当社牛朋友给你过生日！,一串大福,搞笑,1661803,99341,1441,2145,21941,2829,450,144,2026-07-25 04:28:08,BV1De3K6YEBb,2026-07-26,19.531111111111112,0.8137962962962964
潮汕私房菜，没有菜单，老板上什么就吃什么，像开盲盒一样，不知道这一桌味道怎么样？,李维刚的日常,美食侦探,394183,17562,1077,905,674,658,289,301,2026-07-25 09:32:31,BV1so3g6NELt,2026-07-26,14.458055555555555,0.6024189814814814
【绝区零】唱片争夺战！【狄龙顾dillongoo】,狄龙顾,手机游戏,187687,39557,660,390,15868,7392,2017,162,2026-07-25 13:10:00,BV1YUKb69EPW,2026-07-26,10.833333333333334,0.4513888888888889
“清扫凶宅”要做哪些工作？三人惨死的出租房里...疑点重重！国产推理佳作：呼延云《凶宅》第三回！,掺酒_Crane,人文历史,265371,21440,247,957,8906,1136,339,1329,2026-07-25 03:00:00,BV14dKs6YECu,2026-07-26,21.0,0.875
功 夫 男 足,豪言の经理,鬼畜剧场,261387,28383,516,296,4645,4506,728,125,2026-07-25 14:14:48,BV1cx3G6NEKH,2026-07-26,9.753333333333334,0.4063888888888889
下潜10米就漏？国军的海鲲号，到底有多抽象？,世界见闻录,人文历史,482334,30456,1923,2582,4749,1982,282,1050,2026-07-25 10:05:00,BV16Xga6pEmF,2026-07-26,13.916666666666666,0.579861111111111
【医学博士】看了成人内容，会有什么危害？｜10岁女孩直播跳钢管舞背后，藏着更可怕的事…,兔叭咯,科学科普,474295,26737,1016,1106,9523,2588,1201,294,2026-07-25 09:30:00,BV1Kwga6tE2m,2026-07-26,14.5,0.6041666666666666
蛋定，我们会再见～,伊莫,单机游戏,2319549,123226,974,365,54942,31372,18090,225,2026-07-25 08:00:22,BV1cWgB6qEKB,2026-07-26,15.99388888888889,0.6664120370370371
199卢比自助成吉思鸡套餐，撑爆我的鳞片了,印度老吃家,美食侦探,499231,59925,722,388,4391,1079,920,106,2026-07-25 14:00:00,BV1Zx3g6sE82,2026-07-26,10.0,0.4166666666666667
花800块买了一堆无人认领的快递，拆完帅小伙沉默了……,贤宝宝Baby,美食测评,1981097,33573,468,779,10838,3579,272,386,2026-07-25 03:10:00,BV12Dgi6gEvw,2026-07-26,20.833333333333332,0.8680555555555555
《锻刀大赛》惊现华夏斩马刀！人马俱碎 为斩而生,沫子瞪片,影视杂谈,729238,47904,1238,6667,6374,4146,493,1106,2026-07-25 03:30:08,BV1yXge6wET9,2026-07-26,20.497777777777777,0.8540740740740741
“管理员我忍你很久了！”,拔总w,同人·手书,302239,25695,332,121,5460,991,2239,99,2026-07-25 10:47:48,BV1Jp3g6tE71,2026-07-26,13.203333333333333,0.5501388888888888
融合植物561：究极陆生贪欲水草！,蓝飘飘fly,单机游戏,156166,8629,1097,967,1057,851,425,463,2026-08-01 23:00:00,BV12CGG6yEKb,2026-08-02,1.0,0.041666666666666664
在一个破碎服务器的残骸下你又一次回到了这里,白蚀void,单机游戏,169908,17081,1350,1462,3904,1544,124,798,2026-08-01 11:30:00,BV1CtGV6yEq2,2026-08-02,12.5,0.5208333333333334
爽爽爽！博德3、八旅一众3A全部新史低？！更有13块就拿下顶级IP开放世界神作！【居士的单机折扣严选8.1】,蒸汽居士,单机游戏,150674,7728,327,375,1324,639,183,642,2026-08-01 09:00:00,BV1GSG36QEeh,2026-08-02,15.0,0.625
还有王法吗？还有法律吗？大风厂案人均违法？《人民的名义》05,一条闲木鱼,影视杂谈,297938,13859,2233,1352,3049,5908,199,1999,2026-08-01 03:05:00,BV1Z2GP66EhE,2026-08-02,20.916666666666668,0.8715277777777778
《明日方舟》EP - Every Road is a Yes,明日方舟,手机游戏,328080,43225,7581,1085,9942,10790,3180,197,2026-08-01 03:00:00,BV15QGP6ME3s,2026-08-02,21.0,0.875
最倒霉也最幸运的【新疆旅拍vlog02】,粽子淞,日常,124760,21849,321,194,4963,1692,217,794,2026-08-01 14:04:48,BV1CMGG6zEoU,2026-08-02,9.92,0.41333333333333333
你可能不认识我，但是你一定听过我做的音乐,HappyPizzaBread,搞笑,143521,30226,557,84,5676,3177,451,19,2026-08-01 14:15:15,BV17JGG6wEC4,2026-08-02,9.745833333333334,0.4060763888888889
当每层方块都是随机的，MC变成彩虹千层？！,小橙子姐姐解说,单机游戏,480254,22969,333,625,8396,1731,39,482,2026-08-01 06:07:16,BV1QXG36SEtm,2026-08-02,17.878888888888888,0.7449537037037036
【车的发布会】MG07 化身年轻人的第一台轿跑，牙膏挤爆卷到没朋友,车的发布会官方,新能源车,496741,3502,630,286,1289,1223,765,335,2026-08-01 03:00:00,BV1zfGA6CE6V,2026-08-02,21.0,0.875
啥  博  弈  ？ ？ ？,蛋水饿,搞笑,214386,11820,341,449,1960,1120,288,262,2026-08-01 04:00:00,BV1yhGP6DEDJ,2026-08-02,20.0,0.8333333333333334
最喜欢薇薇安了,egg2588,仿妆cos,346751,75571,1150,88,21471,1360,669,19,2026-08-01 07:39:32,BV1icG36sE21,2026-08-02,16.34111111111111,0.6808796296296297
【直到大地变成一颗酸橙】TO-1至TO-9一摆到底合集版 摆完挂机 简单好抄,萧然Q,手机游戏,279125,14054,601,198,2637,12140,310,1207,2026-08-01 06:31:18,BV12pG36gEFr,2026-08-02,17.47833333333333,0.7282638888888888
不能忘记的东西....,急救猫_-,手机游戏,105978,16429,430,155,4677,2474,333,275,2026-08-01 04:40:55,BV1zDGM6WEBk,2026-08-02,19.318055555555556,0.8049189814814816
找到了人类进化的原因……,鹤吱菌,搞笑,136447,7668,235,393,1032,778,158,210,2026-08-01 04:06:49,BV164Gu6fEfo,2026-08-02,19.886388888888888,0.828599537037037
【FGO棉被】EX戴冠战速刷必看！ 冠位系统、周回奖励、卡池抽取建议 助战避坑全解析,叫我棉被,手机游戏,324670,6430,3159,621,2588,2393,408,1825,2026-08-01 07:42:48,BV1icG36sEYq,2026-08-02,16.286666666666665,0.678611111111111
【TF家族练习生】《异常加载中》 MV预告,TF家族,明星综合,575970,34470,2295,24723,7414,2243,2167,22,2026-08-01 12:00:00,BV1hGGV6RE29,2026-08-02,12.0,0.5
你以为做不完我能放你退休？,迂磨二公子,搞笑,250359,25100,782,174,1124,1710,113,159,2026-08-01 10:21:55,BV14nGV6EE9b,2026-08-02,13.634722222222223,0.568113425925926
越狱成功！！好久没有这么幸福的吃饭了！！,大祥哥来了,美食测评,158758,8619,325,364,990,1417,115,587,2026-08-01 10:00:00,BV19Q3z6cEn1,2026-08-02,14.0,0.5833333333333334
3个日本UP东京面基！全程唠嗑收不住！节目拉满！,平平出击,美食侦探,217476,11602,346,347,1612,1885,139,645,2026-08-01 10:51:36,BV1CYGV63E3c,2026-08-02,13.14,0.5475
5年前的粉丝快递开箱！我的粉丝难不成都是天才？！,GM的秘密基地,手工,213644,9780,237,327,1934,523,34,386,2026-08-01 11:03:47,BV1zfGG6eEPJ,2026-08-02,12.936944444444444,0.5390393518518518
【时代少年团】「米爆探班日记」EP05,时代少年团,明星综合,205716,14783,437,26082,3530,3040,201,1032,2026-08-01 10:00:00,BV1y1Gg6vEM5,2026-08-02,14.0,0.5833333333333334
极限状态下拼凑出来的合金弹头4，竟然隐藏了这么多秘密！,老孙聊游戏,单机游戏,129296,7040,138,396,1452,1369,42,862,2026-08-01 11:17:16,BV16XGG6BEDN,2026-08-02,12.712222222222222,0.5296759259259259
差点以为这一仗打赢了,销冠李老板,日常,173122,39210,1376,162,904,4474,101,111,2026-08-01 09:18:55,BV1yyGg6TEXD,2026-08-02,14.684722222222222,0.6118634259259259
采访辱骂者本人,韩路有点意思,日常,167428,5228,1346,1676,916,1239,587,1003,2026-08-01 07:17:31,BV1JYG36YEif,2026-08-02,16.708055555555557,0.6961689814814815
把兄弟的奶茶换成西梅汁！再把他家的马桶用保鲜膜封起来！没想到他直接当着我面绷不住了,骚拳超人,日常,253091,11705,518,722,1579,4877,1484,490,2026-08-01 09:00:00,BV1NZGu6BEZb,2026-08-02,15.0,0.625
